day,hour,minute,driver,duration
0,19,30,57,585
0,19,30,58,585
0,19,30,60,585
0,19,30,61,585
0,19,30,69,585
0,19,30,70,585
0,19,45,18,360
0,19,45,19,345
0,19,45,20,255
0,19,45,22,360
0,19,45,23,360
0,19,45,26,360
0,19,45,50,585
0,19,45,51,585
0,19,45,52,540
0,19,45,57,585
0,19,45,58,585
0,19,45,60,585
0,19,45,61,585
0,19,45,69,585
0,19,45,70,585
0,20,0,18,360
0,20,0,19,345
0,20,0,20,255
0,20,0,22,360
0,20,0,23,360
0,20,0,26,360
0,20,0,50,585
0,20,0,51,585
0,20,0,52,540
0,20,0,57,585
0,20,0,58,585
0,20,0,60,585
0,20,0,61,585
0,20,0,69,585
0,20,0,70,585
0,20,15,18,360
0,20,15,19,345
0,20,15,20,255
0,20,15,22,360
0,20,15,26,360
0,20,15,50,585
0,20,15,51,585
0,20,15,52,540
0,20,15,57,585
0,20,15,58,585
0,20,15,60,585
0,20,15,61,585
0,20,15,69,585
0,20,15,70,585
0,20,30,19,345
0,20,30,20,255
0,20,30,22,360
0,20,30,26,360
0,20,30,50,585
0,20,30,51,585
0,20,30,52,540
0,20,30,57,585
0,20,30,58,585
0,20,30,60,585
0,20,30,61,585
0,20,30,69,585
0,20,30,70,585
0,20,45,20,255
0,20,45,22,360
0,20,45,26,360
0,20,45,50,585
0,20,45,51,585
0,20,45,52,540
0,20,45,57,585
0,20,45,58,585
0,20,45,60,585
0,20,45,61,585
0,20,45,69,585
0,20,45,70,585
0,21,0,20,255
0,21,0,22,360
0,21,0,26,360
0,21,0,50,585
0,21,0,52,540
0,21,0,57,585
0,21,0,58,585
0,21,0,60,585
0,21,0,61,585
0,21,0,69,585
0,21,0,70,585
0,21,15,20,255
0,21,15,22,360
0,21,15,26,360
0,21,15,50,585
0,21,15,57,585
0,21,15,58,585
0,21,15,60,585
0,21,15,61,585
0,21,15,69,585
0,21,15,70,585
0,21,30,20,255
0,21,30,26,360
0,21,30,50,585
0,21,30,57,585
0,21,30,58,585
0,21,30,60,585
0,21,30,61,585
0,21,30,69,585
0,21,30,70,585
0,21,45,20,255
0,21,45,26,360
0,21,45,50,585
0,21,45,58,585
0,21,45,60,585
0,21,45,61,585
0,21,45,69,585
0,21,45,70,585
0,22,0,20,255
0,22,0,50,585
0,22,0,58,585
0,22,0,60,585
0,22,0,61,585
0,22,0,69,585
0,22,0,70,585
0,22,15,50,585
0,22,15,58,585
